"","id","resolution","section"
"1","3/1","Human rights situation in the Occupied Palestinian Territory: follow-up to Human Rights Council resolution S-1/1","19,63,252"
"2","3/2","Preparations for the Durban Review Conference","20,71,265,341,929"
"3","3/3","Report of the Commission of Inquiry on Lebanon","21,90,300,882,938"
"4","3/4","Implementation of General Assembly resolution 60/251: agenda, annual programme of work, methods of work and rules of procedure of the Human Rights Council","22,98,308,461"
