"","X1","Algeria","Argentina","Austria","Benin","Botswana","Brazil","Burkina Faso","Chile","China","Congo","Costa Rica","Côte d’Ivoire","Cuba","Czech Republic","Estonia","Ethiopia","France","Gabon","Germany","India","Indonesia","Ireland","Italy","Japan","Kazakhstan","Kenya","Kuwait","Maldives","Mexico","Montenegro","Morocco","Namibia","Pakistan","Peru","Philippines","Republic of Korea","Romania","Russian Federation","Saudi Arabia","Sierra Leone","South Africa","the former Yugoslav Republic of Macedonia","United Arab Emirates","United Kingdom of Great Britain and Northern Ireland","Venezuela (Bolivarian Republic of)","Viet Nam","United States of America"
"1","1","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","FAVOUR","AGAINST"
"2","2","FAVOUR","AGAINST","AGAINST","AGAINST","AGAINST","ABSTAIN","AGAINST","AGAINST","FAVOUR","FAVOUR","AGAINST","AGAINST","FAVOUR","AGAINST","AGAINST","FAVOUR","AGAINST","ABSTAIN","AGAINST","FAVOUR","ABSTAIN","AGAINST","AGAINST","AGAINST","ABSTAIN","FAVOUR","FAVOUR","AGAINST","AGAINST","AGAINST","FAVOUR","FAVOUR","FAVOUR","AGAINST","FAVOUR","AGAINST","AGAINST","FAVOUR","FAVOUR","AGAINST","FAVOUR","AGAINST","FAVOUR","AGAINST","FAVOUR","FAVOUR","AGAINST"
