"","id","resolution","section"
"1","18/1","The human right to safe drinking water and sanitation","22,131,1411,3016"
"2","18/2","Preventable maternal mortality and morbidity and human rights","23,170,1416,3037"
"3","18/3","Panel to commemorate the twentieth anniversary of the adoption of the Declaration on the Rights of Persons Belonging to National or Ethnic, Religious and Linguistic Minorities","24,185,1422,3034"
"4","18/4","The use of mercenaries as a means of violating human rights and impeding the exercise of the right of peoples to self-determination","25,197,1426,3046"
"5","18/5","Human rights and international solidarity","26,242,1431,3049"
"6","18/6","Promotion of a democratic and equitable international order","27,326,1437,3052"
"7","18/7","Special Rapporteur on the promotion of truth, justice, reparation and guarantees of non-recurrence","28,406,1464,3079"
"8","18/8","Human rights and indigenous peoples","29,444,1470,3082"
"9","18/9","Resumption of the rights of membership of Libya in the Human Rights Council","30,478"
"10","18/10","Human rights and issues related to terrorist hostage-taking","31,487,1480,3022"
"11","18/11","Mandate of the Special Rapporteur on the implications for human rights of the environmentally sound management and disposal of hazardous substances and wastes","32,510"
"12","18/12","Human rights in the administration of justice, in particular juvenile justice","33,543,1491,3040"
"13","18/13","The role of prevention in the promotion and protection of human rights","34,591,1494,3076"
"14","18/14","Regional arrangements for the promotion and protection of human rights","35,623,1498,3100"
"15","18/15","The incompatibility between democracy and racism","36,638,2281,3073"
"16","18/16","Technical assistance for the Sudan in the field of human rights","37,668,3025"
"17","18/17","Technical assistance and capacity-building for South Sudan in the field of human rights","38,688,2332,3028"
"18","18/18","Enhancement of technical cooperation and capacity-building in the field of human rights","39,705,2339,3085"
"19","18/19","Technical assistance and capacity-building for Yemen in the field of human rights","40,735,2343,3109"
"20","18/20","Panel on the promotion and protection of human rights in a multicultural context, including through combating xenophobia, discrimination and intolerance","41,750,1502"
"21","18/21","The human rights of migrants","42,779"
"22","18/22","Human rights and climate change","43,815,1515,3091"
"23","18/23","Promoting awareness, understanding and the application of the Universal Declaration of Human Rights through sport and the Olympic ideal","44,846,2241,3067"
"24","18/24","Advisory services and technical assistance for Burundi","45,870,2354,3019"
"25","18/25","Advisory services and technical assistance for Cambodia","46,884,2361,3088"
"26","18/26","The right to development","47,937,1521,3058"
"27","18/27","From rhetoric to reality: a global call for concrete action against racism, racial discrimination, xenophobia and related intolerance","48,965,2286,3106"
"28","18/28","Mandate of the Working Group of Experts on People of African Descent","49,995,2292,3103"
