"","id","resolution","section"
"1","2/1","Intergovernmental Working Group on the Review of Mandates","19,105,623,1286"
"2","2/2","Human rights and extreme poverty","20,116,639,1299"
"3","2/3","Human rights in the occupied Syrian Golan","21,125,643,1302"
"4","2/4","Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and the occupied Syrian Golan","22,145,686,1323"
"5","2/5","Effective implementation of international instruments on human rights","23,183,733,1423"
